GROUP,PACKAGE,CLASS,BRANCH_COVERED,LINE_COVERED, MUTATION,M_RANK,L_RANK,d,d^2,B_RANK,d,d^2
Apache Commons Collections,org.apache.commons.collections4.functors,ChainedTransformer,10,19,83%,108,121,-13,169,79,29,841
Apache Commons Collections,org.apache.commons.collections4.functors,TransformerClosure,2,8,75%,128,194,-66,4356,157,-29,841
Apache Commons Collections,org.apache.commons.collections4.functors,NullPredicate,2,4,100%,1,236,-235,55225,157,-156,24336
Apache Commons Collections,org.apache.commons.collections4.functors,InstanceofPredicate,1,6,80%,119,220,-101,10201,192,-73,5329
Apache Commons Collections,org.apache.commons.collections4.functors,AbstractQuantifierPredicate,0,3,0%,219,256,-37,1369,196,23,529
Apache Commons Collections,org.apache.commons.collections4.functors,AnyPredicate,11,17,93%,70,133,-63,3969,78,-8,64
Apache Commons Collections,org.apache.commons.collections4.functors,IdentityPredicate,4,7,83%,108,210,-102,10404,125,-17,289
Apache Commons Collections,org.apache.commons.collections4.functors,IfTransformer,10,17,77%,126,133,-7,49,79,47,2209
Apache Commons Collections,org.apache.commons.collections4.functors,CatchAndRethrowClosure,0,8,100%,1,194,-193,37249,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.functors,PredicateTransformer,2,7,60%,162,210,-48,2304,157,5,25
Apache Commons Collections,org.apache.commons.collections4.functors,ExceptionFactory,0,4,100%,1,236,-235,55225,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.functors,SwitchTransformer,24,36,73%,134,52,82,6724,39,95,9025
Apache Commons Collections,org.apache.commons.collections4.functors,EqualPredicate,6,15,92%,71,148,-77,5929,110,-39,1521
Apache Commons Collections,org.apache.commons.collections4.functors,NullIsExceptionPredicate,4,9,50%,173,188,-15,225,125,48,2304
Apache Commons Collections,org.apache.commons.collections4.functors,ConstantTransformer,3,11,33%,187,178,9,81,154,33,1089
Apache Commons Collections,org.apache.commons.collections4.functors,InstantiateFactory,17,27,82%,114,75,39,1521,53,61,3721
Apache Commons Collections,org.apache.commons.collections4.functors,NullIsFalsePredicate,4,9,86%,96,188,-92,8464,125,-29,841
Apache Commons Collections,org.apache.commons.collections4.functors,PrototypeFactory,4,13,71%,138,160,-22,484,125,13,169
Apache Commons Collections,org.apache.commons.collections4.functors,NOPTransformer,0,4,100%,1,236,-235,55225,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.functors,CloneTransformer,2,5,100%,1,230,-229,52441,157,-156,24336
Apache Commons Collections,org.apache.commons.collections4.functors,DefaultEquator,6,4,63%,156,236,-80,6400,110,46,2116
Apache Commons Collections,org.apache.commons.collections4.functors,ChainedClosure,12,23,85%,101,92,9,81,72,29,841
Apache Commons Collections,org.apache.commons.collections4.functors,ConstantFactory,2,8,80%,119,194,-75,5625,157,-38,1444
Apache Commons Collections,org.apache.commons.collections4.functors,ClosureTransformer,2,8,60%,162,194,-32,1024,157,5,25
Apache Commons Collections,org.apache.commons.collections4.functors,FalsePredicate,0,4,100%,1,236,-235,55225,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.functors,NullIsTruePredicate,4,9,86%,96,188,-92,8464,125,-29,841
Apache Commons Collections,org.apache.commons.collections4.functors,InvokerTransformer,24,28,100%,1,70,-69,4761,39,-38,1444
Apache Commons Collections,org.apache.commons.collections4.functors,FunctorUtils,27,36,92%,71,52,19,361,35,36,1296
Apache Commons Collections,org.apache.commons.collections4.functors,TransformedPredicate,3,10,71%,138,183,-45,2025,154,-16,256
Apache Commons Collections,org.apache.commons.collections4.functors,SwitchClosure,22,35,71%,138,55,83,6889,43,95,9025
Apache Commons Collections,org.apache.commons.collections4.functors,ExceptionClosure,0,4,100%,1,236,-235,55225,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.functors,IfClosure,5,13,73%,134,160,-26,676,122,12,144
Apache Commons Collections,org.apache.commons.collections4.functors,OnePredicate,9,16,92%,71,142,-71,5041,86,-15,225
Apache Commons Collections,org.apache.commons.collections4.functors,AndPredicate,7,8,86%,96,194,-98,9604,101,-5,25
Apache Commons Collections,org.apache.commons.collections4.functors,AllPredicate,12,18,100%,1,127,-126,15876,72,-71,5041
Apache Commons Collections,org.apache.commons.collections4.functors,TruePredicate,0,4,100%,1,236,-235,55225,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.functors,ExceptionTransformer,0,4,100%,1,236,-235,55225,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.functors,NotPredicate,4,7,80%,119,210,-91,8281,125,-6,36
Apache Commons Collections,org.apache.commons.collections4.functors,TransformerPredicate,4,10,71%,138,183,-45,2025,125,13,169
Apache Commons Collections,org.apache.commons.collections4.functors,NOPClosure,0,4,100%,1,236,-235,55225,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.bidimap,AbstractDualBidiMap,18,64,10%,209,32,177,31329,51,158,24964
Apache Commons Collections,org.apache.commons.collections4.bidimap,TreeBidiMap,226,433,0%,219,1,218,47524,2,217,47089
Apache Commons Collections,org.apache.commons.collections4.bidimap,AbstractSortedBidiMapDecorator,0,3,0%,219,256,-37,1369,196,23,529
