GROUP,PACKAGE,CLASS,BRANCH_COVERED,LINE_COVERED,MUTATION,M_LINK,L_LINK,d,d^2,B_LINK,d,d^2
Apache Commons Configuration,org.apache.commons.configuration2.io,FileLocator,6,37,96%,92,65,27,729,99,-7,49
Apache Commons Configuration,org.apache.commons.configuration2.io,ConfigurationLogger,4,31,100%,1,80,-79,6241,109,-108,11664
Apache Commons Configuration,org.apache.commons.configuration2.io,FileUtils,14,24,75%,146,94,52,2704,65,81,6561
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler,74,285,93%,107,3,104,10816,10,97,9409
Apache Commons Configuration,org.apache.commons.configuration2.io,ProvidedURLLocationStrategy,0,2,100%,1,171,-170,28900,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.io,ClasspathLocationStrategy,2,3,100%,1,165,-164,26896,119,-118,13924
Apache Commons Configuration,org.apache.commons.configuration2.sync,ReadWriteSynchronizer,2,14,100%,1,126,-125,15625,119,-118,13924
Apache Commons Configuration,org.apache.commons.configuration2.plist,TokenMgrError,0,0,0%,173,173,0,0,136,37,1369
Apache Commons Configuration,org.apache.commons.configuration2.plist,XMLPropertyListConfiguration,50,104,81%,141,28,113,12769,19,122,14884
Apache Commons Configuration,org.apache.commons.configuration2.plist,Token,0,7,25%,168,149,19,361,136,32,1024
Apache Commons Configuration,org.apache.commons.configuration2.plist,ParseException,10,32,19%,169,77,92,8464,82,87,7569
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListParserTokenManager,145,257,33%,165,4,161,25921,2,163,26569
Apache Commons Configuration,org.apache.commons.configuration2.plist,SimpleCharStream,20,70,17%,170,36,134,17956,48,122,14884
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListParser,110,212,49%,160,8,152,23104,6,154,23716
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListConfiguration,63,119,70%,152,20,132,17424,16,136,18496
Apache Commons Configuration,org.apache.commons.configuration2.resolver,DefaultEntityResolver,3,8,38%,164,144,20,400,116,48,2304
Apache Commons Configuration,org.apache.commons.configuration2.resolver,CatalogResolver,8,43,43%,162,58,104,10816,89,73,5329
Apache Commons Configuration,org.apache.commons.configuration2.reloading,CombinedReloadingController,6,17,100%,1,113,-112,12544,99,-98,9604
