GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,COMPLEXITY_TOTAL,BRANCH_RANK,LINE_RANK,CC_RANK,d_Branch,d_Line,d^2_Branch,d^2_Line
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.Updater,0,32,1,1,0,37,0,14,0,11,14,185,76,101,84,-25,7056,625
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,BeanHelper.BeanCreationContextImpl,5,30,0,0,0,31,0,18,0,16,18,186,96,79,107,17,11449,289
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet.ConfigurationSetIterator,0,29,0,0,4,0,2,0,2,0,2,187,279,243,-56,36,3136,1296
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.JupIOFactory,0,23,0,0,2,24,5,8,1,3,13,188,114,110,78,4,6084,16
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,49,0,0,13,285,4,112,0,77,116,189,3,5,184,-2,33856,4
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,50,0,0,0,2,0,2,0,2,2,190,267,243,-53,24,2809,576
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,30,0,0,0,3,0,3,0,2,3,191,250,227,-36,23,1296,529
Apache Commons Configuration,org.apache.commons.configuration2,SubsetConfiguration.SubsetIterator,0,25,0,0,0,6,0,5,0,5,5,192,211,178,14,33,196,1089
Apache Commons Configuration,org.apache.commons.configuration2,EnvironmentConfiguration,0,22,0,0,0,3,0,1,0,1,1,193,250,278,-85,-28,7225,784
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.DefaultIOFactory,0,19,0,0,0,14,0,8,0,7,8,194,159,147,47,12,2209,144
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationUtils.new EventSource() {...},0,6,0,0,37,0,19,0,6,0,19,195,279,75,120,204,14400,41616
Apache Commons Configuration,org.apache.commons.configuration2,HierarchicalConfigurationXMLReader,0,35,0,0,29,104,11,34,1,12,45,196,28,31,165,-3,27225,9
Apache Commons Configuration,org.apache.commons.configuration2,YAMLConfiguration.new Constructor() {...},0,8,0,0,0,9,0,4,0,3,4,197,183,196,1,-13,1,169
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration.new ConfigurationInterpolator() {...},0,15,0,0,0,5,0,3,0,3,3,198,226,227,-29,-1,841,1
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap,0,36,0,0,5,7,4,3,4,3,7,199,199,154,45,45,2025,2025
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration.ConfigData,0,21,0,0,34,32,20,5,2,3,25,200,93,58,142,35,20164,1225
Apache Commons Configuration,org.apache.commons.configuration2,JSONConfiguration,19,61,0,0,1,65,4,27,0,10,31,201,44,47,154,-3,23716,9
Apache Commons Configuration,org.apache.commons.configuration2,YAMLConfiguration,46,73,0,0,0,17,0,4,0,3,4,202,142,196,6,-54,36,2916
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.new BaseHierarchicalConfiguration() {...},5,13,0,0,153,257,114,83,7,20,197,203,4,1,202,3,40804,9
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet.Entry,13,20,0,0,0,1,0,1,0,1,1,204,273,278,-74,-5,5476,25
Apache Commons Configuration,org.apache.commons.configuration2,BaseConfigurationXMLReader,0,36,0,0,0,6,0,4,0,2,4,205,211,196,9,15,81,225
Apache Commons Configuration,org.apache.commons.configuration2,XMLConfiguration.new DefaultHandler() {...},0,8,0,0,0,14,0,4,0,4,4,206,159,196,10,-37,100,1369
Apache Commons Configuration,org.apache.commons.configuration2,ImmutableConfigurationInvocationHandler.ImmutableIterator,0,19,0,0,10,43,2,16,0,14,18,207,66,79,128,-13,16384,169
Apache Commons Configuration,org.apache.commons.configuration2,INIConfiguration.GlobalSectionNodeModel,0,11,0,0,124,70,47,20,24,12,67,208,38,17,191,21,36481,441
Apache Commons Configuration,org.apache.commons.configuration2.event,ConfigurationErrorEvent,0,48,0,0,102,212,77,74,11,37,151,209,8,3,206,5,42436,25
Apache Commons Configuration,org.apache.commons.configuration2.event,ConfigurationEvent,0,78,0,0,24,119,19,38,1,14,57,210,20,21,189,-1,35721,1
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultConversionHandler.new ConfigurationInterpolator() {...},0,5,0,0,0,1,0,1,0,1,1,211,273,278,-67,-5,4489,25
Apache Commons Configuration,org.apache.commons.configuration2.convert,DisabledListDelimiterHandler,0,26,0,0,12,8,3,4,1,3,7,212,189,154,58,35,3364,1225
Apache Commons Configuration,org.apache.commons.configuration2.convert,ListDelimiterHandler,0,5,0,0,7,43,5,14,0,12,19,213,66,75,138,-9,19044,81
Apache Commons Configuration,org.apache.commons.configuration2.ex,ConfigurationException,0,16,0,0,3,22,4,9,0,9,13,214,124,110,104,14,10816,196
Apache Commons Configuration,org.apache.commons.configuration2.ex,ConversionException,7,9,0,0,15,42,7,7,0,4,14,215,69,101,114,-32,12996,1024
Apache Commons Configuration,org.apache.commons.configuration2.ex,ConfigurationRuntimeException,0,22,0,0,0,17,0,9,0,6,9,216,142,136,80,6,6400,36
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointerFactory.NodeWrapper,0,15,0,0,0,34,0,17,0,11,17,217,85,86,131,-1,17161,1
